1695,Abingdon [Knox Co.]
1696,Albion [Edwards Co.]
1697,Aledo [Mercer Co.]
1698,Alexis [Warren Co.] [Mercer Co.]
1699,Algonquin [McHenry Co.]
1700,Altamont [Effingham Co.]
1701,Alton [Madison Co.]
1702,Altona [Knox Co.]
1703,Amboy [Lee Co.]
1704,Anna [Union Co.]
1705,Antioch [Lake Co.]
1706,Arcola [Douglas Co.]
1707,Argenta [Macon Co.]
1708,Arthur [Moultrie Co.] [Douglas Co.]
1709,Ashland [Cass Co.]
1710,Ashley [Washington Co.]
1711,Ashmore [Coles Co.]
1712,Ashton [Lee Co.]
1713,Assumption [Christian Co.]
1714,Astoria [Fulton Co.]
1715,Athens [Menard Co.]
1716,Atlanta [Logan Co.]
1717,Atwood [Douglas Co.] [Piatt Co.]
1718,Auburn [Sangamon Co.]
1719,Augusta [Hancock Co.]
1720,Aurora [Kane Co.]
1721,Ava [Jackson Co.]
1722,Avon [Fulton Co.]
1723,Barry [Pike Co.]
1724,Batavia [Kane Co.]
1725,Beardstown [Cass Co.]
1726,Beckemeyer [Clinton Co.]
1727,Belleville [Saint Clair Co.]
1728,Belvidere [Boone Co.]
1729,Bement [Piatt Co.]
1730,Benld [Macoupin Co.]
1731,Bensenville [DuPage Co.]
1732,Benson [Woodford Co.]
1733,Benton [Franklin Co.]
1734,Bethalto [Madison Co.]
1735,Bethany [Moultrie Co.]
1736,Blandinsville [McDonough Co.]
1737,Bloomington [McLean Co.]
1738,Blue Island [Cook Co.]
1739,Blue Mound [Macon Co.]
1740,Bluffs [Scott Co.]
1741,Bowen [Hancock Co.]
1742,Braceville [Grundy Co.]
1743,Bradford [Stark Co.]
1744,Bradley [Kankakee Co.]
1745,Braidwood [Will Co.]
1746,Breese [Clinton Co.]
1747,Bridgeport [Lawrence Co.]
1748,Brighton [Macoupin Co.]
1749,Broadlands [Champaign Co.]
1750,Brocton [Edgar Co.]
1751,Brookport [Massac Co.]
1752,Buckley [Iroquois Co.]
1753,Buda [Bureau Co.]
1754,Buffalo [Sangamon Co.]
1755,Bunker Hill [Macoupin Co.]
1756,Bureau [Bureau Co.]
1757,Bushnell [McDonough Co.]
1758,Byron [Ogle Co.]
1759,Cable [Mercer Co.]
1760,Cairo [Alexander Co.]
1761,Cambridge [Henry Co.]
1762,Camp Point [Adams Co.]
1763,Canton [Fulton Co.]
